key-query-probe-r01-b2026-09-20-02-08-44Z,pass=1,rows=269,ticks=1522,nominal_ticks_per_second=120
vk,wanted,got_vk,down,keycode,modifiers,count_delta,pass
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
117,1,117,1,255,2,1,1
22,0,22,0,255,2,1,1
117,0,117,0,0,0,1,1
22,1,22,1,97,0,1,1
22,0,22,0,97,0,1,1
125,0,125,0,97,0,1,1
